FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
FALSE,,,,,,,,,,,,
DONE,DATE,ATTENDEES,ITEMS / PROJ,DETAILS (RED PRIORITY),OWNER (OF ACTION IN THE PLANT),ACTION TO BE TAKEN,ACTION DUE DATE,PROJ DUE DATE,ISSUE / CAUSE OF DELAY,REMARKS,LINK,DAYS DUE
TRUE,,,TRUCK Maintenance OPtimization,2 weeks down time - create the controls to minimize down time. ,,"250702 - RCA - Kris and Elaine - back up mechanic, long lead time items. Counter measures by next week. 
250709 -PR long lead time, minimum order - oil is per drum, tires, SOP - tire rotation - retreading.  finding supplier. 
250716 -Supplies have been PRed. Checklist and Policy - same checklist but changes were - upon arrival checking for swapping out. 
250723 -follow up Supplies - follow up PO
250730 - ongoing repairs and maintenances. Upon arrival inspections. Backlog of Tires for re-rubbering. 
250806 - ongoing - ROR analysis, Logistics App (to monitor unplanned Trips), 
250813 - Ongoing - breaks and components have been PR and reserved. Break Master assembly and Drums.
250826 - stores and parts are ready. Checklist/Proceedure - same checklists with records of the results. - Deep dive into ASSET tools in ERPNEXT - and evaluate implementation. Eliminate manual report generation - make all Equipment Repairs status - few clicks for Production
250906 - Schedule ASSET monitoring training with DENZEL.
250919 - for Schedule with DJ
250926 - Asset Training - 
251008 - For Schedule. 
251015 - Follow up schedule with DJ for the asset training
251029 - Asset Management target Jan
260107 - Proceedures - Production-WH and Maintenance 
260206 - Create a detailed procedure of truck maintenance; for precess detailing
260220 - For consolidation of maintenance procedures
260225 - For consolidation of Procedures; Consult AI and Plant Mechanic
260306 - For consolidation of Procedures; Consult AI and Plant Mechanic
260311 - For consolidation of Procedures
260318 - There is monitoring for this already; for Digitization; for checking of Airtag
260325 - monitoring is easier through paper",2026-04-01,,,,,
TRUE,,,SPRAY BOOTH,UNDER REVONVATION of spray painting - new additional Spray booth for PAINTING dept. ,,"250423 - Adding another Spray Booth - allocating people
250528 - Ongoing Installation of Electrical
250604 - ongoing - design of the Booth. based on old Spraybooth
250611 - For payment
250625 - For Approval of RFP with Maam Lou and Edna
250702 - friday start
250709 - ongoing - 2 done. 1 more left. Moving blower - ducting. 
250716 - ducting installation ongoing, blower the week after next
250723 - Blower will arrive - ducting can resume
250730 - Ongoing change blower.  Have the OJT model the blower and use the CFD. Double check the calculations - Finishing Area - 2 Blowers - (each having 2 spraybooth). - Key is the use of the FreeCAD to verify all the ducting systems and as a Proof of our Proficiency. 
250806 - for schedule of OJT. Ducting next week. 
250813 - waiting for porferio
250826 - porferio started - missing people
250905 - porferio gave leave. we will have ductings installer finish the works. Porferio has left our service. 
250919 - internally being done. 
250926 - Ceiling Priority, for the ducting
251008 - 60% ducting - outlets of the ducting. Foundation has been set up. 
251015 - 90% done on ducting. Waiting for the concrete base to fully cure
251105 - base has been done - install outlet of ducting - connecting duct 
251112 - set up linux and nicco remote
251120 - Linux PC has just gotten set up Wed, askinng Nicco for timeline.  https://next.comfaccorp.com/s/xZZ4ozteLzEKidq update scope and costs. Deadline for the Ducting Calculations - CFD Validation Nov 26
251126 - return pc to Plant, that will be it's ""Engineering PC"" RTX 3070 (8GB), Ryzen-5 2018 (2600 model) . Nicco will remote and demo how to do simulations. Schedule nicco for training and hand-over, 
251204 -turn over
260107- Turn to Production of Spray Painting. ",2025-12-17,,,,,
FALSE,,,OPTIMIZE Sanding and Varnishing Process,the Pre-CURING process of Wood - needs to be optimized,,"250411 - problem statement and metrics - how to measure outcome and improvement
250423 - rounding the elbow the duct - for less turbulance - drawing 
250611 - Waiting for payment
250625 - For Approval of RFP with Maam Lou and Edna
250702 - For Deferred - 
250806 - Ducting optimization for OJT modeling. Design of Area. 
250813 - Qued after the Basics - Sanding Tables
250826 - Initial Design - for CFD analysis of the Sanding Table and Ducting
250905 - Whats the problem statement - Wait for the Blender Model of that Section
250919 - for CFD
251008 - follow up NICCO
251015 - give Nicco duct design for the CFD analysis
251022 - Waiting on CFD 
251029 - Follow up CFD timeline
251105 - target Ducting timeline Nov 12
251112 - ducting CFD ongoing
251120 - https://next.comfaccorp.com/s/xZZ4ozteLzEKidq update scope of Nicco's contract
251204 - ongoing - for schedule
251210 - 4 x 8 sanding - CFM - 350 suction. 
260107 - Next Action - Existing Dust Collector - designing it to have - RFA Comfac
260206 - For design and simulation of ducting c/o Comfac
260220 - For RFA c/o Comfac
260225 - For RFA c/o Comfac; Jeff Gundran
260306 - Contact sir Jeff
260311 - For RFA; need to create NCO
260318 - Contacted by Jeff Gundran, coordinated concerns; no response
260325 - For schedule of travel to Cabuyao Plant; contact Jonathan Peol
260401 - For schedule of travel to Cabuyao Plant; contact Jonathan Peol
260408 - Plant visit for the various ME Projects on April 10, 2026
260415 - for follow up
260422 - Ongoing design, will update status c/o OJTs",2026-04-29,,,,,
TRUE,,,SUPPLY CHAIN ANALYSIS/ ESG matters,"UPLB has Supply Chain Analysis - service Under Dr Ann Eliza 
being done for free by DLSU",,"250411 - Iggy and Rowi will ask for the raw materials and supplies used by the Plant - and the TDS. For analysis what can be replaced with greener options. For the master list of materials the Plant COnsumes in production and maintenance. 
250423 - Download from ERPNEXT lisst of Standard Items for Analysis - Rubber matting, Chemicals - Certificate with our Clients. Green Material Storyboard.  Rowi and Iggy. Sustainability Projects - ASk for the Bank's Format of the data. 
250430 - Professor Elaine Matanguihan - Standard Material list download - ERPNEXT with DJ?  Rowi has it - data cleaning. 
250507 - Denzel and Rowi created a report in erpnext - 
250521 - Dr. Elaine - send 
250528 - teach rowi to analyze it - particularly the items for discusion with Professor Elaine
250604 - ask rowi to follow up
250625 - moving to Iggy because ROWi will be very busy with PBR project
250702 - DLSU Life cycle analysis - for metal. Talk to rowi. 
250723 - follow up DLSU
250730 - caculation - of how much metal scrap per year. How much utilization we have per year. 
250806 - to follow - after ESG
250813 - BV 80k - Training Only. 30k for others. - Rubber Liso, Fabric, - (Items that are hard to dispose - Fabric, Rubber, etc.. and should be recylced)
250826 - For meeting on the ESG Targets - Example GHG Accounting, Waste management - Getting BV as Trainer and Auditor, and Getting Ricky De Castro as Consultant
250905 - meeting with Ricky De Castro for consultant 130",2025-09-12,,,Metal throughput Analysis 50 tons of metal / year,,
TRUE,,,ENERGY MAX (Formerly Solar - on hold until EPIRA/GEOP setup),"ROI Calculation of projects with Maam Letlet consulting
ENERGY MAX. get RE provider

We will use GEOP",,"Finalize Scope - of the Solar. Iggy will go to an Event April 2
250402 follow up Accounting for Feedback of Scope of work. 
250411 Team can make the ROI calculations
250423 new suppliers - ROI calculations 
250430 - Minimum Order - this Friday Meralco. 
250507 - maralco said maximum - is hey want all our electricals need the gate - 1 meter. minimum billing 350KW/day minimum. 400KW/day our current solar. 2MW. 1.5M/day. +300-400KW solar assuming 1500KW/day we consume. Meralco is As-build Single Line + Load Schedule, Proposed Single Line Diagram.  PID gave Load Schedule 250506
250514 - update the calculations - add the roof modifications. Roof fixing calculations. use the old quote and how long an area took to be worked on. Get the Sqm per period it would create how long it would take to fix the roof. 
250521 - roof repair can be part of our general maintenance. 
250528 - share with justin the Spreadsheet. Proposed Design of SUbmeter. CARF for EDD. Get meralco written requires - . TARF for the CIVIL works. NCO - Industrial Controllers. 
250604 - Follow up RJ. Plus 200KW + 300-600 to KW battery. You need 300KW to store energy generated for 1 hour, or ideally as much as 1 day.  10M solar 1-2M rewiring . update core documents for the projects.  (we have room for +300 and 1 hour battery, 200 conservative + 1 hour battery) - metering update. RJ and Andrei can create detailed chart and readings.  document the scope. 
250611 - Waiting requote from supplier
250625 - This week will update their quotes Less Solar +300KW plus 400KW. Do we have to configure the load balancer. Hybrid Ready. Talk to Huawei Inverter Support for configuration. 
250702 - new 10 fields others have not sent. - ROI for set up. Key is Current - get the average ""Full Hours"" 
250709 - Quotations - Janstro Solar and Hybrid. 10 Fields update. PhilerGy cannot offer Battery. 
250716 - Korean SOLAR - 40-45k/KW  with hybrid. Waiting for Proposal. 
250723 - follow up supplier
250730 - BIPV Korean Solar - , Have the structure for Outside - Samantha can model - coordinate with Nicco with the models. VISIT OJTs - moving the transformers - estimates of all these costs - tell the Suppliers we will have last round of bidding - after the cost analysis. Multi Criteria Analysis. 
250806 - Waiting for Quote BIPV Korea
250813 - what ever BIPV quotes - it has to accompany the Mounting Unit cost for us. Aluminum Sheet - get the dimensions. 5kg per panel 16.5 for the aluminum 3mm sheet. estimte 8500php per sheet/cost per panel. 
250826 - mounting cost - BIPV quotation. 13M to date estimate. 4M for the battery
250905 - share the latest ROI and Table of Quote Comparisons. BIPV still best even with the plain sheets. CIVIL works quote 
250919 - BANK LOANS options. Ask for Partner Banks. 
250926 - Merizz ? Get all the bank officers for the LOAN. target better than 40% 
251008 - Bidding of bank - Erlinda - SOLAR ROI  check Maxeon Solar Philippines/SunPower
251015 - Ask solar supplier to separate battery quotation
251022 - 1M electrical rewiring single Meter, near the Gate. 11-12, 9php. Pause until BIPV production is online since they are the only selling at 40k/KWh. Energy MAX first. 
251029 - 2 companies have given their Proposals. Projected savings is 13% savings or 650k/year
251105 - SHELVED until energy max is done. Merlaco requires us to determine the position and placement of the new Single Meter. 
",2025-11-12,,,"https://next.comfaccorp.com/s/NyTKb7c359Px6Sq 
https://next.comfaccorp.com/s/NfQeDXwdkAkCs8w 
Solar prices should around 20,000php/KWH. 
100,000php/KWH 2010
80,000php/KWH 2016 Solar. 
20,000php/KWH 2026 - 12-15M is realisic cost - TERMS. Trade WAR created an Oversupply. https://docs.google.com/spreadsheets/d/1A3f40S4apF_DxQiR7wcEuZS72Rx7rzSF/edit?usp=sharing&ouid=115311169836358304106&rtpof=true&sd=true 
SUPPLIER 250709
https://bipvkorea.com/eng/sub.php?menukey=490",,
FALSE,,,CHANGE SOURCE - RE for PLANT - EPIRA,We can now change Source of Electricty - ,,"250305 - Look for Solar power producers who can be our primary - like ACEN and contact them. https://chatgpt.com/share/67c7f1ea-fd0c-800e-8210-9f198ffa8feb  Energy max follow up for uptions
250402 - created viber group - 
250411 - green project https://next.comfaccorp.com/s/Pib5dAP4bf6jeS4 follow up Iggy for the 
250423 - Iggy is contacting Licensed Energy traders
250514 - follow up energy traders 
250521 - talk to DOE regarding green energy licenced sellers
250528 - delayed - Follow up DOE licensed sellers (DLS)
250604 - ROWI follow up
250625 - move to Iggy - 
250702 - deferreed
250813 - remind 
250826 - Follow Up BERN and CHENG (Energy Max for the proposal). All the Cornersteel and Comfac
250905 - Ongoing discussion of Energy Max
250919 - Meralco Changes to Cabling - Maam Gina's Son. Coordinate to RJ 
250926 - Update on Capstone,  Fillup Energy Max forms, Share folder of Meralco Bills - for data encoding. 
251008 - Follow up Next Action with Energy max. 
251015 - Cheng - Prepairing RFQ
251022 - follow up Cheng - We are going to make our set up SINGLE meter - Kris will just get the Proposed SLD and Layout. Meralco will execute.
251029 - For Drawing. recommended - by EDD - at guard house. Ask Meralco. 
251105 -Merlaco requires us to determine the position and placement of the new Single Meter. 
251112 - Single Meter - decision of location
251120 - Decision has been made, following up feedback from meralco - as discsused - Decision has been made where the single meter will be plaed - We need help for esclation and coordination with meralco and of course the energy max and bidders. Documented coordination with parties 
251126 - Meeting Bidders. Getting the SEC for Meralco so Meralco can assign an Agent. 
251205 - ASking for the last bid. Winning bid 5php/generation (from our 6.6-7.8). Assigned Meralco- 
251210 - Bidding Results for Meeting, Paper Work Ongoing (Missing 2025 GIS and Proof of Ownership). 
260107 - Bidding results: 8.4php per KW (energy generation costs) = Shell 5.15php and ACEN 5.3 11-13. 
260206 - for PR
260220 - For schedule of visit and assessment
260225 - For Follow up; Jeff Gundran
260306 - follow up Joselito; for consolidation of billing
260318 - Contacted by Jeff Gundran, coordinated concerns; no response
260325 - send documents through email
260408 - target 04-15-26 for all documents
260415 - target May, for conversion
260422 - transferred documents to Engr. Joselito; for action 052126",2026-05-27,,, ,,
TRUE,,,BATCH TYPE OVEN,DISPOSAL OR RELOCATION,,"250226 - Talk to Poli - Where to put the BATCH TYPE OVEN. Documentation for Disposal.  If we need more capacity just optimize our current Oven - Heat Exchanger 
250305 - waiting for Poli to return - waiting for response. 
250312 - BRL site inspection on the matter. 
250326 - ask which Branches have Powder coating requirements
250402 - Follow up Sir Poli's Team - which branch will this be put into - Rene Paraiso of Davao, - what to do. Move to metal Scrap Area
250411 - scheduled May - space is needed - sir Rey will allcoate the manpower for this
250423 - Deffered - after May - REPORT to DENR we are not using it anymore. 
250604 - for disamble - stored with the PBR area
250611 - For Schedule
250625 - Iloilo - talk to Poli regarding the plans. 2x 10 wheelers for delivery. 
250702 - costing of the logistics - send the dimensions. 
250709  - for sending dimensions
250716 - dimensions - low priority. We might just keep it for carbon capture projects - Devulcanization and Algae Drying
250723 - Recycle the COnveyor. Measure the length and capacity of the convenyor system - if it can be used for our Wet painting. Does the Motor Pool area cleared up benefit Production - if the conveyor system can be recycled. 
250905 - move the oven and store it somewhere else? Use the Conveyor for other processes. Canibalize/Repurpose the Batch Type oven to free up space - Motor Pool Enclosure
250919 - Contact BRL for the Batch Type Oven if they are interested of buying it
250926 - for future projects",2025-09-26,,,May be saved for the Devulcanization experiment with NU. ,,
FALSE,,,OJT Pipeline,"Contact these schools, establish a relationship to gain OJTS. 
Our Lady of Assumption College, Santa Rosa
Pamantasan ng Cabuyao (University of Cabuyao): Located within Cabuyao itself, this local university offers various undergraduate and graduate programs.
Polytechnic University of the Philippines (PUP) – Santa Rosa Campus: Situated in Santa Rosa, Laguna, about 10 kilometers from Cabuyao, this campus provides programs in business, engineering, and information technology.
Mapúa Malayan Colleges Laguna",,"talk to maam Gina - 
250108 - ensure a new batch is in the pipeline. 
250115 - 6+ OJTS - to be assigned (Plant only)
250122 -PC for replacement - no PCs for OJTs.
250205 - 5 ojts max, 1 for Shipping
250219 - Computers have not arrived. No word when
250226 - MOA - presidents signature 
250312 - Training for FreeCAD
250326 -Follow up Paul Roxas
250411 - Sample Drawing - ONLINE 
250430 - Look for new Batch of OJTs. 
250521 - 5 PUP CIVIL OJT applied for July - for As Built and FreeCAD conversion of PLANT and TECH CENTER. For Tech Center Data Center planning. PRF for OJT - Ducting Ongoing.  
250528 - Staff House - Intern Room / Research room
250604 - New batch of OJTs - CIVIL - create a list of 
250611 - List created
250625 - Elain has OJTS. for Shipping logistics set up. 
250926 - Viber Group UP diliman - follow up timeline. Pain Point of Shipping.  OJT Policy for Process Analys. 
251015 - Waiting for UP OJTs, October 27, 2025
251022 - requesting if any ojts available. 
251105 - jan is the enxt
260107 - CID and the others will be Feb. UPDIE
260206 - for follow up of Cid
260220 - For follow up
260225 - two OJTs for training c/o Nicco/ other OJTs
260306 - 3 Mech. engineers, 4 Electronic/Com Engr.; fabrication of ducting, automation
260318 - PUP will send OJTs to TechCenter
260325 - Follow up Ma'am Gina for additional Engineering OJTs for Plant
260408 - for receiveing of PC for OJT
260415 - target for recruitment for next period
260422 - FreeCAD training under Nico Salongga; plus additional OJTs",2026-04-29,,,,,
TRUE,,,MATERIAL HANDLING -,"List the Items for the following: 
1) Loading and Unload a Truck with just Driver + Crewman. 
2) All the CNC machines that require - Haulers, identify what activities - need additional manpower - which we can evaluate to make our own. ",ELAINE,"180215 Material Handling (Recovered)
241023 - reformulatioin of the goals. 
241120 - Goals not updated
250108 Ensure there is an OJT in the pipeline
250122 - Please Contact Mike B - regarding the New OJT prospects to reserve OJTs. 
250325 - NO OJT pushed through too late. 
250625 - OJT for Process Analysis.
250702 - FGTS process analysis - for Elaine
250709 - Jenny does Elaine have a Process Improvement plan? 
250716 - Schedule meeting with OJT - tomeniochristianjairo04@gmail.com
250730 - no change in status quo. 
250806 after roro planning, logistics erpnext and pull out. 
250813 - roro reports - truck options
250826 - roro reports 500k bond. Cost benefit of the 500k. assume 56 trips in a year. How much will we spend for RORO.  Add Waiting time. Give the cost of the problem to the company
250905 - UP diliman has shown material https://www.youtube.com/@AnnarobotX/shorts RORO-analysis WAITING TIME and COST is missing in the analysis. 
250926 - follow up UP capstone students for Timeline. 
251008 - IE projects
251015 - Waiting for UP capstone students October 27, 2025
251029 - UPD Capstone
251105 -Followed up capstone
251112 - followed up
251120 - UPD Efficiency Analyssi - https://calendar.google.com/calendar/event?action=TEMPLATE&tmeid=NnRlcDZhNmkzcjhvMGt2OWFrNHI4YjZlMmEganVzdGluYXF1aW5vQGNvcm5lcnN0ZWVsLmNvbQ&tmsrc=justinaquino%40cornersteel.com 
251204 - meeting with UPD on Friday Dec 5
251210 - for OJT in IE. 
260107 - for OJT in IE
260206 - being done capstone by UPD
260220 - ongoing capstone; For schedule of meeting
260225 - ongoing capstone; synch inventory
260306 - ongoing capstone - closed",2026-03-04,,,"https://youtu.be/BqusmFAGjU4?si=CXE2REAKiN41cy0p
https://www.youtube.com/results?search_query=shop+BOOM+DIY 

SHIPPING DELIVERY MONITORING REPORT
Out OF TOWN SHIPPING DELIVERY Proposal Acquisiion of New Elf Truck Join this chat on Viber: CSC UP diliman Capstone 250918 https://invite.viber.com/?g=HJO0HNHqVlVQAwbmQUziTQbp4JkGnDmg ",,
TRUE,,,DENR Green Labeling,Check what are the PROGRAMS and Incentives of DENR for sustainability project,,"250423 - RA 11285 Gives Awards and Recognition for Green Initiatives - please check if DENR. 
250430 - ROwi and Dra Elaine - we will inquire UPLB. - talk to them 
250514 - follow rowi
250521 - follow up rowi
250528 - same
250604 - follow up
250625 - passed to Iggy - 
250709 - Iggy to use AI to produce all the Gov't requriements - and then create a plan for the Green Labeling with QA/QMS
250716 - ongoing - details have been sent/ 
250730 - follow up 
250806 - after ESG authentication body is selected
250813 - part of our ESG. 
250905 - folden into the ESG program",2025-09-02,,, https://chatgpt.com/share/68088eca-fc28-800e-82d1-fc406d9311d2,,
TRUE,,,BIESSE ROVER A - Vacuum Tripping. ,"Bearings replacement. Breaker probably causing the vacuum power to trip, shutting it down. ",,"240912 bearing and breaker replacement. 
241008 Bearing DONE. Breaker order ongoing. 241008
241016 Follow up Breaker (RS Philippines). 
241023 Breaker Arrived and Installed. Testing and Observation. Testing the carbon vane (these are Wind Panes part of the Motor that sucks air) - it has friction, and it needs to be sanded down to be flush - Its currently causing friction increasing the amps to turn the motor.  
241106 Vane sanded down but still tripping after 10-15 mins of running (suction is low - not reaching -15bar of vacuum)
241120 Tripping is reduced, by allowing the VANE to cool. Cannot reach 15BAR. Looking for new VACUUM. 
241127 Oil cooled Vacuum 297k php. for PR. 
241211 For PO - follow up
241218 380V 3 phase specs, for PO. 
250108 Vacuum is for PO. 
250115 For PO
250122 for Payment - Rover A edge is also down. faster delivery. 3d week of March. 
250312 - Rover A edge is up. Rover A (Old 2007) is down. 
250326 -Vacuum has been bought - 8 weeks. Supplier - follow up. 
250411 - FINAL payment follow up
250423 - Vacuum for Pickup
250430 - Hose - ordered.
250507 - Hose cancelled by Seller. Reordered
250514 -supplier ETD may 29
250604- done working",2025-05-29,,,,,
TRUE,,,Data Cabinet at PDTD is falling apart,Load bearing wall is fallig apart,,"240828 - set up scaffold to work on it. Add a support for the cabinet to buy time.  PR only the broken parts. For schedule 241008
241016 - Coordinang with PUP - Servers will be Housed in Tech Center, no Space in PUP. Will be remotely accessed. For Coordination with PUP. 
241023 - For Tech Center schedule Delivery. 
241120 - For schedule JAN 
250108 for mezzanine and 2W admin
250115 follow up IT, TC, and PUP
250122 For retro-fitting - mounting brackets
250205 - ongoing
250211 DATA CABINETS SUMMARY 240507 #2 and #1 is fine.
250226 - Friday - WO for unit. 
250305 - WO today 
250312 - PID scheduling - IT follow up PID for schedule. 
250326 - Wainting for PID 
250411 - PID incorrectly installed - mice ate the wiring - for replacement and enclosure
250423 - for Schedule
250604 - for installation of Data Cabinet and PID schedule. 
250611 - For schedule (Make an ARF)
250625 - Data Cabinet will be moved to the floor - for Planning (identify scope of work) >  scheduling > Mobilization and > Implementation. 
250702 - deferred to august - leaks is prioritized
250806 - leaks in the area are being prioritized
250905 - for Schedule Rack Replacement - Wifi Dongles map all the ables. For ready the data cabinet
250919 - Provide wifi dongles for the relocation of the Data Cabinet
250926 - scheduled Oct 3
251008 - waiting for the Dongles? check if PRed.
251015 - follow up spld for the delivery of dongles
251022 - for scheduling of the set up of the dongles and the wiring and cabinet
251029 - for set up of dongles and wifi. 
251105 - dongles tested? 
251112 - dongles for schedule, - fiber not long enough - create a high standing data cabinet
251210 - get the dates Dec 16. 
260107 - DONE",2025-12-17,,,,,
